photo_id,business_id,label,caption
VZXDC7VBdIXXjE3omVqeMg,JzB7NITHQ7gVHGVZ1ntgIQ,food,Black Angus Steak Sandwich... Huge!!!
c6Em6dDZ4aVKDI8Lc2BQog,JzB7NITHQ7gVHGVZ1ntgIQ,outside,
VAoFn_z9QF0qVmT5vTdwWA,JzB7NITHQ7gVHGVZ1ntgIQ,food,
ToCK6BSwnST8nIzSuskW3g,JzB7NITHQ7gVHGVZ1ntgIQ,food,
XFsXCbK5q3ks0n7B8grI8A,JzB7NITHQ7gVHGVZ1ntgIQ,food,
Rj-aRnoIvCP1OsZUAJ3JCQ,JzB7NITHQ7gVHGVZ1ntgIQ,inside,
VLeextjhHN3aO-AistDnoQ,JzB7NITHQ7gVHGVZ1ntgIQ,food,
Bjkb5OaZv6_OxaTvMSjdaA,JzB7NITHQ7gVHGVZ1ntgIQ,food,
B30UMLg5h-ucc8Iujoim1A,JzB7NITHQ7gVHGVZ1ntgIQ,food,
0rA7NmWz_osdAWLTQyln3A,sAU0FbmsQwcwk3uvvvtIgw,outside,Exterior
UTpcUMLWdZeSq4PgnIyQHQ,r6JuhqakByGOXdwii3Sa-w,inside,2nd story
s34NetaQ5WNSehhrEck5Xw,6C6GRESqx2bDxgMHN7LUXg,food,
RytDNdZg03Rb9CYrsJQdXQ,6C6GRESqx2bDxgMHN7LUXg,food,Cod Sliders- my absolute favorite!
5Ds8tEIvQLzJWf8ooxCPuw,y6uOL03ph3NjTUGc76a4jg,outside,The entrance sign
xZRX_XuTnZGv03Vpp4GGHw,rQ6C54q1N2iq9iDKSA3QGA,inside,"Cool lighting at the bar! They also have a green ""cut out"" through the ceiling, but the main lighting is a nice gold."
D8rykN9Wj8vET4KyUhwM-g,mqDh5Nr01wNP-1sPcwxAcQ,food,I give you a large traditional half pepperoni/Italian sausage and half pineapple. First time having their pizza. Pretty delicious.
WmdH02OjVbMvCI1JoPws_g,mqDh5Nr01wNP-1sPcwxAcQ,food,Cheesy Breadsticks.
PDwKIAZMYnJZ5lTdrzkZfA,dil7Fajn07B9e_msePW0nQ,food,Sirloin Steak Dinner
4KNgZQ4cKe6wxtuhPXmGpw,dil7Fajn07B9e_msePW0nQ,food,Double Cheeseburger
3QZnJ5T-3OubfFkbdTDxUQ,dil7Fajn07B9e_msePW0nQ,food,Zesty Nachos
ER22qh7jdyQnrOp3TZ8Adg,dil7Fajn07B9e_msePW0nQ,food,Bacon Avocado Cheeseburger
E9r0hF9Mduec-ZXqUsqjrg,dil7Fajn07B9e_msePW0nQ,food,NEW! Strawberries & Cream Pancake Breakfast
ShPwxbyl7s9ZR-6MYEoewA,dil7Fajn07B9e_msePW0nQ,food,Original Grand SlamÂ®
zIXlPcP4xzDI4bTxdQH7rw,dil7Fajn07B9e_msePW0nQ,food,Cali Club Sandwich
QMqRDBQU-7XsaoORg5bV1g,dil7Fajn07B9e_msePW0nQ,food,Avocado Chicken Caesar Salad
41j5nyB4tDawPoP-2ZM_Lg,dil7Fajn07B9e_msePW0nQ,inside,
4jYF1HP5eIW8uQm5IKmntQ,OnAzbTDn79W6CFZIriqLrA,food,"Try our returning favorite, the Strawberry Poppyseed Salad with Chicken, paired with our Roasted Turkey & Avocado BLT."
vYENIM8h9G8Yr-W1BWjqkw,OnAzbTDn79W6CFZIriqLrA,drink,Start your morning with our new Greek Yogurt with Mixed Berries or a Fruit Smoothie.
soK1szeyan202jnsGhUDmA,OnAzbTDn79W6CFZIriqLrA,inside,
dU7AyRB_fHOZkflodEyN5A,OnAzbTDn79W6CFZIriqLrA,inside,
6T1qlbBdKkXA1cDNqMjg2g,OnAzbTDn79W6CFZIriqLrA,outside,
lHhMNhCA7rAZmi-MMfF3ZA,OnAzbTDn79W6CFZIriqLrA,inside,Bakery area
IYGYISw-79IerhiS728dmA,HXBBI_M10pAtSVATIVATYQ,food,A daily special: the meatball sandwich.
PhgAS9qdCOMpHwhwp3gGWQ,IRRfbzBmmacXX8ScvLbpWA,inside,
wMLnJl90XFTlPQwBeuyjEA,IRRfbzBmmacXX8ScvLbpWA,food,
bX4fWgqV5aZhaj1IKX8Zdw,IRRfbzBmmacXX8ScvLbpWA,food,
ezzwwRKqcSq9fmziPeTsaA,IRRfbzBmmacXX8ScvLbpWA,food,
7qe2J6d_e3sZyAd9robU_Q,IRRfbzBmmacXX8ScvLbpWA,food,
x8vGIg-t_n5onYg_CpL1zQ,IRRfbzBmmacXX8ScvLbpWA,food,
qu6R7VxiD0otosZVPGnbMw,IRRfbzBmmacXX8ScvLbpWA,food,
HfVXwC_KHYdi1_8G04b4Aw,YqcgdLRoTwS74fPv-ZCRsg,inside,A great table for great dining at Frescos
41tJNMmAGf4_SdNMR8frSA,q7jC-6uH7IieKu8PcT2gBA,food,Shrimp with Lobster sauce
GPrq0j0a4qmzfAI8MV8I7Q,A4F6iwYVuyKbvlroDEA47A,inside,
S9Tkf_UDLeaUwiutJ9TnYA,6nY8KnhX75RM9mppJryu5Q,inside,
oHSCeyoK9oLIGaCZq-wRJw,XaeCGHZzsMwvFcHYq3q9sA,food,
EN9qzZpxfv00B_4X6q5lYA,XaeCGHZzsMwvFcHYq3q9sA,food,
M6c0qxQQwWkUzAxIvoTFuQ,XaeCGHZzsMwvFcHYq3q9sA,food,
876EKnk6deA7xA4i1aipJg,XaeCGHZzsMwvFcHYq3q9sA,food,
NFCDwGr_-TEiw9bzx3nFKw,XaeCGHZzsMwvFcHYq3q9sA,food,
YDmNsu38Nk2rPZMFEWBzvw,XaeCGHZzsMwvFcHYq3q9sA,food,
